## vdj_pipe v0.1.5-15-gffd7271~; clang7.0.2; Boost1.57.0; build:20160217; 2016-Feb-17 21:22:21 UTC
read_id	total_copies	exact_copies	mismatched_ends	5'-mismatch	3'-mismatch
IS9DOBB01DBHRA	8	8	0	0	0
IS9DOBB01BWZWR	2	2	0	0	0
IS9DOBB01DPM3Z	3	3	0	0	0
IS9DOBB01D5XIA	2	2	0	0	0
IS9DOBB01BZO32	2	2	0	0	0
IS9DOBB01DH7H9	3	3	0	0	0
IS9DOBB01B711H	1	1	0	0	0
IS9DOBB01BLZFK	6	6	0	0	0
IS9DOBB01EO4FP	2	2	0	0	0
IS9DOBB01BPDZ2	1	1	0	0	0
IS9DOBB01DI8EB	4	4	0	0	0
IS9DOBB01B6IP2	1	1	0	0	0
IS9DOBB01C0KXJ	2	2	0	0	0
IS9DOBB01CMYHM	1	1	0	0	0
IS9DOBB01BLHG2	5	5	0	0	0
IS9DOBB01BJSJ7	1	1	0	0	0
IS9DOBB01DZ3I5	1	1	0	0	0
IS9DOBB01DMBDY	1	1	0	0	0
IS9DOBB01CU8WK	1	1	0	0	0
IS9DOBB01D2T2B	1	1	0	0	0
IS9DOBB01CZJEW	1	1	0	0	0
IS9DOBB01BOCH8	1	1	0	0	0
IS9DOBB01CHVNG	1	1	0	0	0
IS9DOBB01EY7BN	1	1	0	0	0
IS9DOBB01CQFP3	7	7	0	0	0
IS9DOBB01ANIM6	1	1	0	0	0
IS9DOBB01DOY83	1	1	0	0	0
IS9DOBB01DZK42	5	5	0	0	0
IS9DOBB01D6KEE	1	1	0	0	0
IS9DOBB01AGZGF	2	2	0	0	0
IS9DOBB01AW5UA	1	1	0	0	0
IS9DOBB01CBS7C	1	1	0	0	0
IS9DOBB01CAWK9	1	1	0	0	0
IS9DOBB01EGQDH	2	2	0	0	0
IS9DOBB01BEVZ3	3	3	0	0	0
IS9DOBB01CM497	1	1	0	0	0
IS9DOBB01CCYKP	1	1	0	0	0
IS9DOBB01BJV4O	5	5	0	0	0
IS9DOBB01DMIHG	4	4	0	0	0
IS9DOBB01DA3JW	2	2	0	0	0
IS9DOBB01AURTK	5	5	0	0	0
IS9DOBB01D6FPC	4	4	0	0	0
IS9DOBB01D0IW7	2	2	0	0	0
IS9DOBB01AU0V5	1	1	0	0	0
IS9DOBB01BA00H	1	1	0	0	0
IS9DOBB01CBL0Z	2	2	0	0	0
IS9DOBB01COAKF	1	1	0	0	0
IS9DOBB01A0ZGJ	1	1	0	0	0
IS9DOBB01CW0TH	1	1	0	0	0
IS9DOBB01EA7S4	1	1	0	0	0
IS9DOBB01A4OQ0	4	4	0	0	0
IS9DOBB01CKQXL	1	1	0	0	0
IS9DOBB01CRE70	2	2	0	0	0
IS9DOBB01AD84I	2	2	0	0	0
IS9DOBB01A2U2A	1	1	0	0	0
IS9DOBB01BRKFS	1	1	0	0	0
IS9DOBB01AESJC	5	5	0	0	0
IS9DOBB01EUJC1	2	2	0	0	0
IS9DOBB01AL8H3	1	1	0	0	0
IS9DOBB01C4U37	1	1	0	0	0
IS9DOBB01C5AM1	1	1	0	0	0
IS9DOBB01D9HXL	2	2	0	0	0
IS9DOBB01EJ8PV	1	1	0	0	0
IS9DOBB01ASWUB	1	1	0	0	0
IS9DOBB01D98R5	1	1	0	0	0
IS9DOBB01B7X96	2	2	0	0	0
IS9DOBB01B8QSN	1	1	0	0	0
IS9DOBB01DGMK9	2	2	0	0	0
IS9DOBB01CBPHC	1	1	0	0	0
IS9DOBB01BH3LN	1	1	0	0	0
IS9DOBB01CQMLY	1	1	0	0	0
IS9DOBB01AU7XC	4	4	0	0	0
IS9DOBB01DHNY8	2	2	0	0	0
IS9DOBB01EI9UH	1	1	0	0	0
IS9DOBB01D2TIA	1	1	0	0	0
IS9DOBB01DUBAB	3	3	0	0	0
IS9DOBB01EK2B9	2	2	0	0	0
IS9DOBB01C5Z9E	2	2	0	0	0
IS9DOBB01BHIYI	1	1	0	0	0
IS9DOBB01B6JAX	2	2	0	0	0
IS9DOBB01DDATB	1	1	0	0	0
IS9DOBB01B54H5	2	2	0	0	0
IS9DOBB01DHCOB	1	1	0	0	0
IS9DOBB01BIMF9	1	1	0	0	0
IS9DOBB01ET7YI	1	1	0	0	0
IS9DOBB01AQT44	4	4	0	0	0
IS9DOBB01EB4ZT	1	1	0	0	0
IS9DOBB01EU3SX	2	2	0	0	0
IS9DOBB01DLFKO	3	3	0	0	0
IS9DOBB01EF07G	1	1	0	0	0
IS9DOBB01DYCS6	5	5	0	0	0
IS9DOBB01ETPW6	3	3	0	0	0
IS9DOBB01B2EDP	1	1	0	0	0
IS9DOBB01DUCMU	2	2	0	0	0
IS9DOBB01CWWWQ	1	1	0	0	0
IS9DOBB01CVH8G	8	8	0	0	0
IS9DOBB01BD295	9	9	0	0	0
IS9DOBB01D5SLA	16	16	0	0	0
IS9DOBB01ERK31	1	1	0	0	0
IS9DOBB01D1BNE	4	4	0	0	0
IS9DOBB01DLX9V	1	1	0	0	0
IS9DOBB01D85U9	2	2	0	0	0
IS9DOBB01EQ1BC	4	4	0	0	0
IS9DOBB01BIO14	2	2	0	0	0
IS9DOBB01BUOEX	3	3	0	0	0
IS9DOBB01CQGVJ	1	1	0	0	0
IS9DOBB01EUMR1	3	3	0	0	0
IS9DOBB01D5GMW	1	1	0	0	0
IS9DOBB01DWHXA	1	1	0	0	0
IS9DOBB01D65NH	9	9	0	0	0
IS9DOBB01DQ6C4	2	2	0	0	0
IS9DOBB01B3E37	1	1	0	0	0
IS9DOBB01D1FQ5	1	1	0	0	0
IS9DOBB01BERAZ	1	1	0	0	0
IS9DOBB01B1PSY	5	5	0	0	0
IS9DOBB01BJXSS	3	3	0	0	0
IS9DOBB01CJINH	2	2	0	0	0
IS9DOBB01BQFTW	1	1	0	0	0
IS9DOBB01AQPSP	1	1	0	0	0
IS9DOBB01CCHV3	1	1	0	0	0
IS9DOBB01CR71J	1	1	0	0	0
IS9DOBB01C2BAA	1	1	0	0	0
IS9DOBB01C0ANH	2	2	0	0	0
IS9DOBB01AIAAR	3	3	0	0	0
IS9DOBB01CEZG1	5	5	0	0	0
IS9DOBB01CWPVJ	1	1	0	0	0
IS9DOBB01AMV3B	1	1	0	0	0
IS9DOBB01BHSSV	1	1	0	0	0
IS9DOBB01EHQVG	1	1	0	0	0
IS9DOBB01DJWIJ	1	1	0	0	0
IS9DOBB01DYYO6	1	1	0	0	0
IS9DOBB01DVKR3	1	1	0	0	0
IS9DOBB01DAPWR	1	1	0	0	0
IS9DOBB01EQ9H4	2	2	0	0	0
IS9DOBB01EFRY4	1	1	0	0	0
IS9DOBB01EATZH	2	2	0	0	0
IS9DOBB01BVQXI	1	1	0	0	0
IS9DOBB01AK4ET	1	1	0	0	0
IS9DOBB01BOH9N	2	2	0	0	0
